"ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID","SPOT_ID.1"
"TC0200007954.hg.1",0.42,0.153,1.479352,-5.82536,0.3465375,"Multiple_Complex","Multiple_Complex"
"TC0700012122.hg.1",0.42,0.153,1.479306,-5.82543,0.2372312,"Multiple_Complex","Multiple_Complex"
"TC0400008666.hg.1",0.42,0.153,1.479213,-5.82555,0.2960394,"Multiple_Complex","Multiple_Complex"
"TC0300012264.hg.1",0.42,0.153,1.47909,-5.82573,0.2655875,"Multiple_Complex","Multiple_Complex"
"TC1900006565.hg.1",0.42,0.153,-1.47902,-5.82582,-0.4835981,"Multiple_Complex","Multiple_Complex"
"HTA2-neg-47424344_st",0.42,0.153,1.479002,-5.82585,0.7504362,"---","---"
"TC2200008578.hg.1",0.421,0.153,-1.4787,-5.82627,-0.3388,"Multiple_Complex","Multiple_Complex"
"TC0400008074.hg.1",0.421,0.153,1.478581,-5.82644,0.2783619,"Multiple_Complex","Multiple_Complex"
"TC0900010578.hg.1",0.421,0.153,1.47801,-5.82723,0.2226687,"Multiple_Complex","Multiple_Complex"
"TC2000010006.hg.1",0.421,0.153,-1.477855,-5.82744,-0.5881937,"Multiple_Complex","Multiple_Complex"
"TC2000007945.hg.1",0.421,0.153,-1.477824,-5.82749,-0.3004469,"Multiple_Complex","Multiple_Complex"
"HTA2-pos-3196675_st",0.421,0.153,-1.477794,-5.82753,-0.20425,"---","---"
"TC1700007982.hg.1",0.421,0.153,-1.47733,-5.82818,-0.5003687,"Multiple_Complex","Multiple_Complex"
"TC0800012143.hg.1",0.421,0.154,-1.477193,-5.82837,-0.3157512,"Multiple_Complex","Multiple_Complex"
"TC0400006462.hg.1",0.421,0.154,1.477111,-5.82848,0.3699175,"Multiple_Complex","Multiple_Complex"
"TC1500009621.hg.1",0.421,0.154,-1.47704,-5.82858,-0.2485494,"Multiple_Complex","Multiple_Complex"
"TC0200015397.hg.1",0.422,0.154,1.476824,-5.82888,0.4760569,"Multiple_Complex","Multiple_Complex"
"TC1700009592.hg.1",0.422,0.154,-1.476642,-5.82913,-0.3415369,"Multiple_Complex","Multiple_Complex"
"HTA2-neg-47419101_st",0.422,0.154,-1.476599,-5.82919,-1.4436325,"---","---"
"TC0300013866.hg.1",0.422,0.154,1.476432,-5.82942,0.2857581,"Multiple_Complex","Multiple_Complex"
"TC1700009535.hg.1",0.422,0.154,1.476243,-5.82969,0.2470081,"Multiple_Complex","Multiple_Complex"
"TC1900011834.hg.1",0.422,0.154,-1.475457,-5.83078,-0.2593731,"Multiple_Complex","Multiple_Complex"
"TC1900007945.hg.1",0.423,0.154,1.475093,-5.83129,0.2456856,"NonCoding","NonCoding"
"TC0100011664.hg.1",0.423,0.154,1.474803,-5.83169,1.5696069,"Multiple_Complex","Multiple_Complex"
"HTA2-pos-PSR17014498.hg.1",0.423,0.154,-1.4748,-5.83169,-0.6019556,"---","---"
"TC1900010503.hg.1",0.423,0.154,-1.474566,-5.83202,-0.7453256,"Multiple_Complex","Multiple_Complex"
"TC2000008883.hg.1",0.423,0.154,1.47434,-5.83233,0.2843331,"Multiple_Complex","Multiple_Complex"
"TC1200007687.hg.1",0.423,0.154,1.474091,-5.83268,0.3843812,"Multiple_Complex","Multiple_Complex"
"TC0400011421.hg.1",0.423,0.154,-1.474014,-5.83278,-0.2365275,"Multiple_Complex","Multiple_Complex"
"TC0700009478.hg.1",0.423,0.154,-1.473934,-5.8329,-0.3867681,"Coding","Coding"
"TC0X00009029.hg.1",0.423,0.154,-1.473881,-5.83297,-0.3337038,"Coding","Coding"
"TC0700010437.hg.1",0.423,0.154,1.473536,-5.83345,0.553685,"Multiple_Complex","Multiple_Complex"
"TC1000010101.hg.1",0.423,0.155,1.473428,-5.8336,0.3041938,"Multiple_Complex","Multiple_Complex"
"TC1500007067.hg.1",0.423,0.155,-1.473385,-5.83366,-0.80834,"Multiple_Complex","Multiple_Complex"
"HTA2-pos-PSR11002948.hg.1",0.423,0.155,1.473332,-5.83373,0.361925,"---","---"
"TC0700006583.hg.1",0.423,0.155,-1.473267,-5.83382,-0.2287394,"Multiple_Complex","Multiple_Complex"
"TC0100018510.hg.1",0.423,0.155,-1.473054,-5.83412,-0.5269194,"Multiple_Complex","Multiple_Complex"
"TC1200012202.hg.1",0.423,0.155,1.473021,-5.83416,0.237525,"Multiple_Complex","Multiple_Complex"
"TC1700012276.hg.1",0.423,0.155,-1.472925,-5.8343,-0.48953,"Multiple_Complex","Multiple_Complex"
"TC0400006552.hg.1",0.424,0.155,1.472555,-5.83481,0.2066669,"Multiple_Complex","Multiple_Complex"
"TC1100012516.hg.1",0.424,0.155,-1.472441,-5.83497,-0.3693563,"Multiple_Complex","Multiple_Complex"
"TC1200009789.hg.1",0.424,0.155,-1.472217,-5.83528,-0.2266262,"Coding","Coding"
"TC1100007670.hg.1",0.424,0.155,-1.472028,-5.83554,-0.2172662,"Multiple_Complex","Multiple_Complex"
"TC0700008031.hg.1",0.424,0.155,1.471981,-5.83561,0.282585,"Multiple_Complex","Multiple_Complex"
"TC0100011733.hg.1",0.424,0.155,-1.471929,-5.83568,-0.1956812,"Multiple_Complex","Multiple_Complex"
"TC0100008554.hg.1",0.424,0.155,-1.471812,-5.83584,-0.3820875,"Multiple_Complex","Multiple_Complex"
"TC2000009469.hg.1",0.424,0.155,1.471679,-5.83603,0.3745975,"Multiple_Complex","Multiple_Complex"
"TC2200009257.hg.1",0.424,0.155,-1.471495,-5.83628,-0.3523981,"Multiple_Complex","Multiple_Complex"
"TC0600008655.hg.1",0.424,0.155,-1.471198,-5.83669,-0.2823081,"Multiple_Complex","Multiple_Complex"
"TC0100013205.hg.1",0.424,0.155,1.471139,-5.83677,0.3105962,"Multiple_Complex","Multiple_Complex"
"TC0700013425.hg.1",0.424,0.155,1.471062,-5.83688,0.3380631,"Multiple_Complex","Multiple_Complex"
"TC2200008103.hg.1",0.424,0.155,1.470773,-5.83728,0.1995206,"Multiple_Complex","Multiple_Complex"
"TC0700010908.hg.1",0.424,0.155,1.470442,-5.83774,0.1886525,"Multiple_Complex","Multiple_Complex"
"TC1900012018.hg.1",0.424,0.155,-1.470431,-5.83776,-0.3303038,"Multiple_Complex","Multiple_Complex"
"TC0500008121.hg.1",0.424,0.155,1.470369,-5.83784,0.3319863,"Multiple_Complex","Multiple_Complex"
"TC2000008085.hg.1",0.425,0.155,-1.470248,-5.83801,-0.3609994,"Multiple_Complex","Multiple_Complex"
"TC1100011514.hg.1",0.425,0.155,1.47018,-5.8381,0.3841,"Multiple_Complex","Multiple_Complex"
"TC1100008133.hg.1",0.425,0.155,-1.469998,-5.83836,-0.2554906,"Multiple_Complex","Multiple_Complex"
"TC1200012254.hg.1",0.425,0.156,-1.469728,-5.83873,-0.56498,"Multiple_Complex","Multiple_Complex"
"TC0X00007261.hg.1",0.425,0.156,-1.469723,-5.83874,-0.2676437,"Coding","Coding"
"TC0100008996.hg.1",0.425,0.156,-1.469496,-5.83905,-0.2428675,"Multiple_Complex","Multiple_Complex"
"HTA2-pos-PSR19023021.hg.1",0.425,0.156,1.469436,-5.83913,0.1688062,"---","---"
"TC1300006799.hg.1",0.425,0.156,-1.469213,-5.83944,-0.2256269,"Multiple_Complex","Multiple_Complex"
"TC1100009702.hg.1",0.425,0.156,-1.469042,-5.83968,-0.1916,"Multiple_Complex","Multiple_Complex"
"TC1100009540.hg.1",0.425,0.156,-1.46903,-5.8397,-0.2285275,"Multiple_Complex","Multiple_Complex"
"TC1400006548.hg.1",0.425,0.156,-1.468933,-5.83983,-0.2835594,"Coding","Coding"
